Fecha;A¤o;Mes;Dia;Sucursal;Cantidad;;;;;;
1/01/2018;2018;1;1;1001;71;;;;sucursales;;
1/01/2018;2018;1;1;1002;58;;;mes;1;2;
1/01/2018;2018;1;1;1003;52;;;1;3628;;
1/01/2018;2018;1;1;1004;128;;;2;;;
1/01/2018;2018;1;1;1005;103;;;;;;
2/01/2018;2018;1;2;1001;165;;;;;;
2/01/2018;2018;1;2;1002;149;;;;;;
2/01/2018;2018;1;2;1003;121;;;;;;
2/01/2018;2018;1;2;1004;116;;;;;;
2/01/2018;2018;1;2;1005;135;;;;;;
3/01/2018;2018;1;3;1001;78;;;;;;
3/01/2018;2018;1;3;1002;165;;;;;;
3/01/2018;2018;1;3;1003;146;;;;;;
3/01/2018;2018;1;3;1004;109;;;;;;
3/01/2018;2018;1;3;1005;117;;;;;;
4/01/2018;2018;1;4;1001;116;;;;;;
4/01/2018;2018;1;4;1002;155;;;;;;
4/01/2018;2018;1;4;1003;155;;;;;;
4/01/2018;2018;1;4;1004;73;;;;;;
4/01/2018;2018;1;4;1005;99;;;;;;
5/01/2018;2018;1;5;1001;177;;;;;;
5/01/2018;2018;1;5;1002;104;;;;;;
5/01/2018;2018;1;5;1003;178;;;;;;
5/01/2018;2018;1;5;1004;93;;;;;;
5/01/2018;2018;1;5;1005;79;;;;;;
6/01/2018;2018;1;6;1001;59;;;;;;
6/01/2018;2018;1;6;1002;59;;;;;;
6/01/2018;2018;1;6;1003;156;;;;;;
6/01/2018;2018;1;6;1004;142;;;;;;
6/01/2018;2018;1;6;1005;138;;;;;;
7/01/2018;2018;1;7;1001;51;;;;;;
7/01/2018;2018;1;7;1002;155;;;;;;
7/01/2018;2018;1;7;1003;67;;;;;;
7/01/2018;2018;1;7;1004;75;;;;;;
7/01/2018;2018;1;7;1005;151;;;;;;
8/01/2018;2018;1;8;1001;110;;;;;;
8/01/2018;2018;1;8;1002;127;;;;;;
8/01/2018;2018;1;8;1003;134;;;;;;
8/01/2018;2018;1;8;1004;166;;;;;;
8/01/2018;2018;1;8;1005;175;;;;;;
9/01/2018;2018;1;9;1001;106;;;;;;
9/01/2018;2018;1;9;1002;128;;;;;;
9/01/2018;2018;1;9;1003;79;;;;;;
9/01/2018;2018;1;9;1004;170;;;;;;
9/01/2018;2018;1;9;1005;71;;;;;;
10/01/2018;2018;1;10;1001;173;;;;;;
10/01/2018;2018;1;10;1002;170;;;;;;
10/01/2018;2018;1;10;1003;167;;;;;;
10/01/2018;2018;1;10;1004;51;;;;;;
